Region,Children in poverty,Access to exercise opportunities,Adult obesity,Alcohol-impaired driving deaths,Excessive drinking
West,0.087,0.896,0.3,,0.266
West,0.076,0.896,0.329,,0.266
West,0.128,0.872,0.257,0.289,0.185
West,0.102,0.92,0.268,0.268,0.185
West,0.351,0.957,0.315,1.0,0.171
West,0.308,0.957,0.324,1.0,0.171
West,0.288,0.596,0.318,0.5,0.143
West,0.286,0.757,0.316,0.6,0.143
West,0.132,0.692,0.291,0.385,0.2
West,0.112,0.711,0.285,0.349,0.2
West,0.176,0.844,0.296,1.0,0.16
West,0.178,0.844,0.284,1.0,0.16
West,0.11,1.0,0.26,0.375,0.209
West,0.097,1.0,0.269,0.375,0.209
West,0.148,0.606,0.275,0.306,0.185
West,0.139,0.746,0.275,0.269,0.185
West,0.156,1.0,0.292,0.75,0.212
West,0.143,1.0,0.28,0.75,0.212
West,0.118,0.986,0.301,0.6,0.267
West,0.098,0.986,0.315,0.75,0.267
West,0.235,0.471,0.315,0.0,0.194
West,0.244,0.471,0.326,0.0,0.194
West,0.126,0.337,0.298,0.339,0.183
West,0.12,0.475,0.298,0.288,0.183
West,0.333,0.16,0.356,0.857,0.19
West,0.284,0.16,0.341,0.8,0.19
West,0.179,0.647,0.356,,0.147
West,0.167,0.647,0.342,,0.147
West,0.273,0.218,0.297,1.0,0.212
West,0.286,0.218,0.297,0.667,0.212
West,0.252,1.0,0.337,0.5,0.2
West,0.241,1.0,0.355,0.5,0.2
West,0.112,1.0,0.282,1.0,0.246
West,0.126,1.0,0.288,1.0,0.246
West,0.216,0.973,0.302,,0.292
West,0.237,0.973,0.309,,0.292
West,0.187,0.198,0.317,0.444,0.145
West,0.213,0.274,0.325,0.333,0.145
West,0.114,0.468,0.283,0.5,0.218
West,0.109,0.753,0.297,0.6,0.218
West,0.372,0.978,0.276,0.5,0.092
West,0.424,0.978,0.346,0.333,0.092
West,0.162,1.0,0.309,,0.196
West,0.159,1.0,0.301,,0.196
West,0.307,0.334,0.29,0.125,0.253
West,0.301,0.334,0.263,0.167,0.253
South,0.185,0.593,0.305,0.255,0.167
South,0.196,0.737,0.313,0.333,0.167
